repository,category,purpose,maturity_analysis,homelab_recommendation,url,default_branch,commit_sha,default_commit_date,repository_created_at,repository_pushed_at,archived,fork,license_spdx_detected,tree_entries,tree_truncated,open_issues,open_pull_requests,latest_github_release,release_prerelease,release_published_at,source_url
suitenumerique/hub,Applications,Chat Matrix et convergence chat/visio,Explicitement non prêt pour production ; aucune release,"Pilote isolé. Synapse, MAS et client Matrix de développement existent ; Drive, réunions, notifications et déchiffrement ont encore des tickets ouverts.",https://github.com/suitenumerique/hub,main,ab2102e9a71cc91be5ab2a9915db3e0b55d4bd42,2026-09-04T11:40:05Z,2026-05-05T18:41:23Z,2026-09-04T14:47:35Z,False,False,MIT,544,False,21,9,,,,https://github.com/suitenumerique/hub/blob/ab2102e9a71cc91be5ab2a9915db3e0b55d4bd42/README.md
suitenumerique/messagerie,Applications,"Pointeur vers DIMAIL : Postfix, Dovecot, Open-Xchange",Dépôt documentaire : un seul fichier,Suivre la pile DIMAIL sur GitLab pour le mail IMAP et le groupware. Ne pas chercher une application Docker dans ce dépôt.,https://github.com/suitenumerique/messagerie,main,03e3c36ff674b88fb64f4d22b1871a98088f186d,2025-06-13T02:44:42Z,2025-06-12T20:52:39Z,2025-06-13T02:44:42Z,False,False,not-detected,1,False,0,0,,,,https://github.com/suitenumerique/messagerie/blob/03e3c36ff674b88fb64f4d22b1871a98088f186d/README.md
suitenumerique/st-deploycenter,Socles,"Console opérateur : organisations, services, abonnements, droits, métriques",Code actif ; aucune release GitHub publiée,Conserver la version locale. Réutiliser catalogue/Gaufre et entitlements ; compléter les raccordements par application. Ne déploie pas lui-même toute la pile.,https://github.com/suitenumerique/st-deploycenter,main,a5df8439bd78b5c5c8f79eb3398956e01153cec3,2026-09-05T13:39:42Z,2025-08-29T16:12:47Z,2026-09-06T08:24:13Z,False,False,MIT,374,False,3,2,,,,https://github.com/suitenumerique/st-deploycenter/blob/a5df8439bd78b5c5c8f79eb3398956e01153cec3/README.md
suitenumerique/people,Socles,"La Régie : annuaire, groupes, invitations, domaines et boîtes DIMAIL",v1.25.4 stable ; v1.26.0 prérelease,Intégrer les groupes/annuaire et DIMAIL si retenu. Définir les identifiants communs ; administration des organisations et provisioning des services encore partiels.,https://github.com/suitenumerique/people,main,5eafad1d7fb97efeb327b27ddcca0cf29c8182dc,2026-08-19T12:56:16Z,2024-01-03T09:08:16Z,2026-09-03T02:23:41Z,False,False,MIT,995,False,107,20,v1.26.0,True,2026-06-25T13:05:39Z,https://github.com/suitenumerique/people/blob/5eafad1d7fb97efeb327b27ddcca0cf29c8182dc/README.md
suitenumerique/accounts,Socles,MonCompte : identité utilisateur fédérée et fournisseur OIDC intermédiaire,Explicitement non prêt pour production,"Différer. Garder Keycloak ; invitations locales, MFA, profils et authentifications multiples restent des chantiers annoncés.",https://github.com/suitenumerique/accounts,main,2ad3342bb4e5a91cf39ad16dc875a13fff19b30c,2026-09-02T00:51:49Z,2026-04-24T13:19:16Z,2026-09-04T15:33:02Z,False,False,MIT,381,False,14,9,,,,https://github.com/suitenumerique/accounts/blob/2ad3342bb4e5a91cf39ad16dc875a13fff19b30c/README.md
suitenumerique/menshen,Socles,"Serveur OAuth de délégation par échange de jetons, client et playgrounds",Avertissement bootstrap/non utilisable en production ; v0.2.0,Différer sauf besoin de délégation démontré. Aucun remplacement de Keycloak ; les resource servers existants suffisent à plusieurs liaisons.,https://github.com/suitenumerique/menshen,main,fa0ccd565be2cba026c917f0e2fece24d2a5c425,2026-09-01T15:54:12Z,2026-03-11T09:07:36Z,2026-09-01T16:47:36Z,False,False,MIT,235,False,4,4,v0.2.0,False,2026-07-29T14:56:01Z,https://github.com/suitenumerique/menshen/blob/fa0ccd565be2cba026c917f0e2fece24d2a5c425/README.md
suitenumerique/find,Socles,"Recherche fédérée avec droits ; API Django, OpenSearch, indexeurs",Code et connecteurs Docs/Drive présents ; aucune release,"Intégrer après identité et ACL. Vérifier indexation des ressources S3/NAS, suppressions, révocations et liens de résultat.",https://github.com/suitenumerique/find,main,025e6d02ea08c46ef831a70f0ae1a41036c5a7c9,2026-07-06T15:50:52Z,2024-09-02T18:17:24Z,2026-09-02T11:52:37Z,False,False,MIT,159,False,9,4,,,,https://github.com/suitenumerique/find/blob/025e6d02ea08c46ef831a70f0ae1a41036c5a7c9/README.md
suitenumerique/integration,Socles,"Gaufre, widgets, API de catalogue et documentation",Paquet integration-v1.0.2 ; widget v2 documenté,"Réutiliser la navigation et les URLs locales, depuis un catalogue ST ou JSON. Ce menu ne constitue pas un contrôle des permissions.",https://github.com/suitenumerique/integration,main,5316093a071ddc6cf348994d9bdc30b5fdc256d8,2026-06-11T19:47:19Z,2024-05-01T14:15:09Z,2026-09-03T07:12:45Z,False,False,not-detected,295,False,2,25,integration-v1.0.2,False,2024-06-28T09:53:36Z,https://github.com/suitenumerique/integration/blob/5316093a071ddc6cf348994d9bdc30b5fdc256d8/README.md
suitenumerique/ui-kit,Socles,"Composants React, tokens et outil de migration",Référentiel UI canonique ; ui-components@1.1.0,Réutiliser les packages. La fusion avec Cunningham est déjà faite dans ce dépôt ; migration de chaque application à vérifier séparément.,https://github.com/suitenumerique/ui-kit,main,d18da07441801a63f710cb118d8b9aeb778a66e7,2026-09-03T13:39:50Z,2025-01-14T14:03:31Z,2026-09-04T16:00:55Z,False,False,MIT,1364,False,47,38,@gouvfr-lasuite/ui-components@1.1.0,False,2026-08-27T09:54:10Z,https://github.com/suitenumerique/ui-kit/blob/d18da07441801a63f710cb118d8b9aeb778a66e7/README.md
suitenumerique/cunningham,Socles,Ancien dépôt du système de design et des tokens,Dernière version React 4.3.1 ; non archivé,"Dépendance historique, désormais consolidée dans ui-kit. Ne pas démarrer un service ni entretenir deux nouveaux systèmes de design.",https://github.com/suitenumerique/cunningham,main,a754c693bba3b30f6d60e97d07cb0e469ae48fa5,2026-07-16T14:20:15Z,2022-11-14T15:25:54Z,2026-09-04T21:26:18Z,False,False,MIT,460,False,19,20,@gouvfr-lasuite/cunningham-react@4.3.1,False,2026-06-30T09:21:55Z,https://github.com/suitenumerique/cunningham/blob/a754c693bba3b30f6d60e97d07cb0e469ae48fa5/README.md
suitenumerique/django-lasuite,Socles,"Bibliothèque Django commune : OIDC, resource server, logout, malware",Paquet v0.0.29,Réutiliser dans les applications compatibles ; aucun service autonome. Ne pas réécrire les contrats OIDC communs.,https://github.com/suitenumerique/django-lasuite,main,c8b3dd963f4508b54bb6283d00c1e46c68b43079,2026-08-25T12:38:43Z,2025-02-06T09:34:39Z,2026-09-02T14:19:58Z,False,False,MIT,176,False,9,5,v0.0.29,False,2026-08-25T13:06:21Z,https://github.com/suitenumerique/django-lasuite/blob/c8b3dd963f4508b54bb6283d00c1e46c68b43079/README.md
suitenumerique/file-scanner,Socles,Service de scan synchrone/asynchrone ; moteurs ClamAV/exav/JCOP,Implémentation et documentation présentes ; sans release,"Prévoir un service de scan commun avec moteur disponible localement. Connecteurs, quarantaine, limites et traitement des fichiers chiffrés à qualifier.",https://github.com/suitenumerique/file-scanner,main,87c555e270a8d592201f0b51bb079ea27bf4e97d,2026-07-23T12:33:06Z,2026-06-01T13:19:32Z,2026-07-23T12:35:52Z,False,False,MIT,67,False,1,0,,,,https://github.com/suitenumerique/file-scanner/blob/87c555e270a8d592201f0b51bb079ea27bf4e97d/README.md
suitenumerique/st-ansible,Socles,"Collection Debian, Podman rootless/systemd, st-cli, sauvegarde/supervision","Déploiements documentés pour Drive, Docs, Meet, Messages, Projects, Keycloak","Référence opérationnelle utile. Ne pas substituer Podman à ton Docker par défaut ; reprendre paramètres, dépendances et runbooks pertinents.",https://github.com/suitenumerique/st-ansible,main,258cd8f5d3ddc47894265f2b53e1eaef67d82555,2026-09-04T22:12:20Z,2025-07-01T10:08:34Z,2026-09-04T22:13:07Z,False,False,MIT,451,False,1,8,,,,https://github.com/suitenumerique/st-ansible/blob/258cd8f5d3ddc47894265f2b53e1eaef67d82555/README.md
suitenumerique/st-home,Socles,"Vitrine territoriale, raccordement collectivités, traitements RPNT/OPNT",Site et traitements de données existants,Écarter du socle homelab. Ce portail territorial ne remplace ni ST ni une page utilisateur locale.,https://github.com/suitenumerique/st-home,main,e8c20c686a76f7bd3e0751939076cf61e1498e59,2026-08-31T09:50:35Z,2025-02-24T19:19:31Z,2026-09-03T16:50:37Z,False,False,MIT,401,False,0,4,,,,https://github.com/suitenumerique/st-home/blob/e8c20c686a76f7bd3e0751939076cf61e1498e59/README.md
suitenumerique/helpcenter,Socles,Centre d’aide public multisite alimenté par Docs ; Next.js/Redis,Code présent ; sans release,Optionnel pour publier une documentation publique. Sans authentification : ne pas y envoyer la documentation interne privée.,https://github.com/suitenumerique/helpcenter,main,c5288dd01db55c622dc982f280bb7080e6b3d473,2026-07-21T14:04:39Z,2026-04-28T06:00:50Z,2026-07-21T14:04:45Z,False,False,MIT,93,False,0,0,,,,https://github.com/suitenumerique/helpcenter/blob/c5288dd01db55c622dc982f280bb7080e6b3d473/README.md
suitenumerique/roomkit-visio,Extensions,"Passerelle salles SIP/PSTN vers Meet ; Kamailio, rtpengine, livekit-sip",Intégration matérielle documentée ; sans release,"Seulement si salles SIP ou téléphonie nécessaires. Figer les branches vidéo indiquées, ports et dépendances ; pas requis pour la visio web.",https://github.com/suitenumerique/roomkit-visio,main,31c7d65f46c545c8e0183ff7b9b654c71e0f28c1,2026-05-20T20:38:09Z,2026-05-18T08:23:50Z,2026-07-26T02:57:08Z,False,False,MIT,50,False,0,1,,,,https://github.com/suitenumerique/roomkit-visio/blob/31c7d65f46c545c8e0183ff7b9b654c71e0f28c1/README.md
suitenumerique/livekit-sip,Extensions,Fork du pont SIP vers LiveKit,Fork ; branches sip-video et sip-video-v2 présentes,Dépendance de téléphonie/Roomkit. La branche par défaut ne suffit pas à caractériser les ajouts vidéo.,https://github.com/suitenumerique/livekit-sip,main,4c9cc19fbe598268c4464a7ac4284274a2d34e6f,2026-06-13T20:48:18Z,2025-11-26T10:37:55Z,2026-09-04T08:58:34Z,False,True,Apache-2.0,123,False,0,2,,,,https://github.com/suitenumerique/livekit-sip/blob/4c9cc19fbe598268c4464a7ac4284274a2d34e6f/README.md
suitenumerique/media-sdk,Extensions,Fork Go de traitement audio/média LiveKit,Bibliothèque ; sans README racine ni release propre,Dépendance technique du média ; pas une application à installer séparément.,https://github.com/suitenumerique/media-sdk,main,ffc0902069a6a65f442d899a6d3c6704da586610,2026-02-23T23:48:05Z,2025-11-26T10:38:16Z,2026-03-30T09:04:06Z,False,True,Apache-2.0,83,False,0,0,,,,https://github.com/suitenumerique/media-sdk/tree/ffc0902069a6a65f442d899a6d3c6704da586610
suitenumerique/meet-whisperx,Extensions,"API WhisperX : transcription, alignement, diarisation",Service implémenté ; sans release,"Option de Meet/Dictaphone. Prévoir modèle, capacité de calcul, file d’attente et endpoint protégé.",https://github.com/suitenumerique/meet-whisperx,main,46a15c7409a9cab9afed90a24c834491e05a370a,2026-07-02T16:43:46Z,2024-11-19T16:15:30Z,2026-09-01T22:59:32Z,False,False,MIT,46,False,4,9,,,,https://github.com/suitenumerique/meet-whisperx/blob/46a15c7409a9cab9afed90a24c834491e05a370a/README.md
suitenumerique/meet-kyutai-moshi-stt,Extensions,Serveur STT temps réel Moshi/Kyutai et image GPU,Expérimentation spécialisée GPU,Seulement si sous-titrage temps réel retenu ; vérifier modèle et matériel. Ce n’est pas le même usage que la transcription différée WhisperX.,https://github.com/suitenumerique/meet-kyutai-moshi-stt,main,d00fbd84c0dfcaee051d359e6bd82003e67ec567,2025-12-22T09:10:55Z,2025-11-15T18:11:39Z,2026-03-01T14:55:19Z,False,False,MIT,9,False,0,3,,,,https://github.com/suitenumerique/meet-kyutai-moshi-stt/blob/d00fbd84c0dfcaee051d359e6bd82003e67ec567/README.md
suitenumerique/meet-matting,Extensions,Recherche sur la segmentation du fond vidéo,Explicitement expérimental,Ne pas déployer comme application. Réutiliser un résultat lorsqu’il est intégré et qualifié dans Meet.,https://github.com/suitenumerique/meet-matting,main,fa9f16aa709196d4cbe8057f787b6c62c662670a,2026-05-19T09:26:44Z,2026-04-20T15:07:20Z,2026-05-19T09:26:51Z,False,False,not-detected,120,False,0,1,,,,https://github.com/suitenumerique/meet-matting/blob/fa9f16aa709196d4cbe8057f787b6c62c662670a/README.md
suitenumerique/gallene-deployment,Extensions,Image et chart Galène ; construction depuis galene-headless externe,Packaging exploratoire ; sans release,"Alternative vidéo à évaluer, pas une dépendance de Meet/LiveKit. Garder une seule pile visio principale.",https://github.com/suitenumerique/gallene-deployment,main,7d405389002093e70a042d960c12bd213fdd94db,2026-05-29T12:45:34Z,2026-04-17T09:59:25Z,2026-05-29T12:45:47Z,False,False,MIT,25,False,0,1,,,,https://github.com/suitenumerique/gallene-deployment/blob/7d405389002093e70a042d960c12bd213fdd94db/README.md
suitenumerique/gallene-sdk,Extensions,API et jetons Galène ; sous-projet Python galene-api,SDK embryonnaire ; sans release,"Uniquement avec Galène. Malgré la description frontend du dépôt, le code livré observé est un client Python.",https://github.com/suitenumerique/gallene-sdk,main,4b02d7c7ac8c9480ee8ee396edb75fc6cd8a78f9,2026-06-01T14:29:11Z,2026-04-20T14:04:54Z,2026-06-01T14:29:27Z,False,False,MIT,20,False,0,1,,,,https://github.com/suitenumerique/gallene-sdk/blob/4b02d7c7ac8c9480ee8ee396edb75fc6cd8a78f9/README.md
suitenumerique/drive-migrator,Outillage,Migration documentaire ; source actuellement centrée sur Resana vers Drive,"Outil actif, backend et interface ; sans release",À utiliser seulement pour une migration réelle. Pas nécessaire pour le NAS existant ; versions et dossiers vides hors périmètre annoncé.,https://github.com/suitenumerique/drive-migrator,main,9ee4462a7bcfd2d08698b48280c5f1c8cb20961a,2026-09-04T15:24:08Z,2024-10-22T14:22:43Z,2026-09-05T03:04:03Z,False,False,MIT,544,False,24,17,,,,https://github.com/suitenumerique/drive-migrator/blob/9ee4462a7bcfd2d08698b48280c5f1c8cb20961a/README.md
suitenumerique/encryption,Outillage,Intention de mutualiser le chiffrement,Seulement README et LICENSE ; aucun code,"Concept à suivre, rien à installer. Ne pas lui attribuer les mécanismes déjà développés dans Transfers ou Matrix.",https://github.com/suitenumerique/encryption,main,09044d1e5f7a82b357e09f9e550aa821f64b8d8d,2026-03-18T00:41:42Z,2026-03-18T00:41:41Z,2026-09-04T00:28:36Z,False,False,MIT,2,False,0,0,,,,https://github.com/suitenumerique/encryption/blob/09044d1e5f7a82b357e09f9e550aa821f64b8d8d/README.md
suitenumerique/e2esdk,Outillage,Fork SocialGouv : SDK de chiffrement client et serveur de clés,Branche beta ; dernier commit hérité d’octobre 2023,Ne pas ajouter au socle. Intégration cryptographique complète nécessaire ; aucune protection automatique des applications existantes.,https://github.com/suitenumerique/e2esdk,beta,b75557f2c98402041aa0f4d3c64525fbee7435da,2023-10-12T09:51:36Z,2026-01-28T13:17:38Z,2026-02-04T17:03:14Z,False,True,Apache-2.0,423,False,0,2,,,,https://github.com/suitenumerique/e2esdk/blob/b75557f2c98402041aa0f4d3c64525fbee7435da/README.md
suitenumerique/containers,Outillage,Fork des images et templates RunPod,Packaging GPU ; branche feat/moshi référencée,"Hors Docker applicatif du homelab, sauf recours explicite à ces images GPU. Ce dépôt ne contient pas le déploiement global de La Suite.",https://github.com/suitenumerique/containers,main,e75f960cc81e4d3942a9ea1fccc34ac682487b06,2025-07-21T19:42:02Z,2025-08-14T14:46:02Z,2025-08-14T14:49:28Z,False,True,MIT,281,False,0,1,,,,https://github.com/suitenumerique/containers/blob/e75f960cc81e4d3942a9ea1fccc34ac682487b06/README.md
suitenumerique/helm-dev-backend,Outillage,"Chart de dépendances de développement : DB, cache, Keycloak, S3, proxy",Chart 0.0.8 ; aucun README racine,Écarter du runtime Docker de production. Ne pas créer une seconde pile d’identité/stockage à partir de ce chart.,https://github.com/suitenumerique/helm-dev-backend,main,52b02b6b684a1525ad9ceb275d078d09802717db,2026-02-18T11:12:59Z,2025-08-28T08:07:31Z,2026-02-18T11:13:23Z,False,False,MIT,24,False,0,2,,,,https://github.com/suitenumerique/helm-dev-backend/tree/52b02b6b684a1525ad9ceb275d078d09802717db
suitenumerique/buildpack,Outillage,Construction Python/JS pour Scalingo et PaaS,"Outil existant, sans release",Inutile pour ton déploiement Docker Compose.,https://github.com/suitenumerique/buildpack,main,6b1adb0357a84fe7b7922660c6bc27e9787bfaaa,2025-08-20T14:19:05Z,2025-05-19T18:19:40Z,2025-08-20T14:19:06Z,False,False,not-detected,5,False,0,0,,,,https://github.com/suitenumerique/buildpack/blob/6b1adb0357a84fe7b7922660c6bc27e9787bfaaa/README.md
suitenumerique/interop,Outillage,Banc commun de développement avec Keycloak et MinIO,Petit dépôt récent ; configuration dev uniquement,Référence d’interopérabilité. Ne pas confondre avec un orchestrateur complet ni démarrer ses dépendances en doublon.,https://github.com/suitenumerique/interop,main,b1e8f45ca40f75e9e49355483332bb9f1abbaf36,2026-09-04T17:47:18Z,2026-08-26T15:29:55Z,2026-09-04T17:48:17Z,False,False,MIT,17,False,1,0,,,,https://github.com/suitenumerique/interop/blob/b1e8f45ca40f75e9e49355483332bb9f1abbaf36/README.md
suitenumerique/st-domain-parking,Outillage,Pages d’attente pour domaines de collectivités ; builder/Caddy/S3,"Code fonctionnel décrit, sans release",Seulement pour héberger des pages de domaines en attente. Aucun besoin pour les sous-domaines applicatifs déjà servis par ton proxy.,https://github.com/suitenumerique/st-domain-parking,main,2c1a725e578d69abf8b99e9b4cbfa663adb0c95c,2026-09-04T19:06:19Z,2026-08-12T16:37:05Z,2026-09-04T19:06:19Z,False,False,MIT,44,False,0,0,,,,https://github.com/suitenumerique/st-domain-parking/blob/2c1a725e578d69abf8b99e9b4cbfa663adb0c95c/README.md
suitenumerique/docs-website,Documentation,Vitrine Docs/Astro ; contenu et roadmap tirés de Docs,Site actif,Source pour les orientations et exemple de publication depuis Docs ; installation non nécessaire.,https://github.com/suitenumerique/docs-website,main,171166ec1259fa0c74dd188227848ac63a8f71d5,2026-08-27T12:31:18Z,2026-07-08T20:21:31Z,2026-08-27T12:34:56Z,False,False,MIT,145,False,0,0,,,,https://github.com/suitenumerique/docs-website/blob/171166ec1259fa0c74dd188227848ac63a8f71d5/README.md
suitenumerique/documentation,Documentation,"Catalogue historique des produits, dépendances et liens externes","Documentation générale, peu actualisée","Conserver comme source historique ; préférer versions, code et documentations produit actuels pour déployer.",https://github.com/suitenumerique/documentation,main,af67a1003e17b7b8a27054a72e312afd6c05584b,2025-06-19T18:40:59Z,2024-11-29T13:39:23Z,2025-06-19T18:43:34Z,False,False,not-detected,5,False,0,1,,,,https://github.com/suitenumerique/documentation/blob/af67a1003e17b7b8a27054a72e312afd6c05584b/README.md
suitenumerique/dev-handbook,Documentation,Pratiques de développement et de collaboration,Documentation,"Référence contributive, aucun service à déployer.",https://github.com/suitenumerique/dev-handbook,main,65cf006e31960dc71b201af0ff6f71c58ed053d8,2026-07-01T15:33:51Z,2025-01-24T09:54:37Z,2026-07-01T15:33:52Z,False,False,not-detected,13,False,4,3,,,,https://github.com/suitenumerique/dev-handbook/blob/65cf006e31960dc71b201af0ff6f71c58ed053d8/README.md
suitenumerique/.github,Documentation,Profil public et liste officielle des produits,Documentation organisationnelle,Point de départ du catalogue ; les licences et la maturité se vérifient par produit.,https://github.com/suitenumerique/.github,main,0890ba7e8991ddca680f0652792dc3f88dbebd6a,2026-05-20T14:33:27Z,2025-04-24T09:11:43Z,2026-05-20T14:33:27Z,False,False,MIT,8,False,1,0,,,,https://github.com/suitenumerique/.github/blob/0890ba7e8991ddca680f0652792dc3f88dbebd6a/profile/README.md
suitenumerique/hackdays,Documentation,Site vitrine de l’événement Hack Days,Site historique Next.js,Aucune application métier à déployer.,https://github.com/suitenumerique/hackdays,main,073c13188a209203dd874ac60b7faa3235932b6a,2025-05-23T12:40:56Z,2025-03-26T14:43:36Z,2025-10-06T15:55:57Z,False,False,not-detected,119,False,0,2,,,,https://github.com/suitenumerique/hackdays/blob/073c13188a209203dd874ac60b7faa3235932b6a/README.md
suitenumerique/hackdays2025,Documentation,Archive de propositions et démonstrateurs : 55 dossiers de soumission,"Historique public, non archivé techniquement",Toutes les propositions sont classées en annexe. Présence dans ce dépôt ne vaut ni adoption ni engagement de maintenance.,https://github.com/suitenumerique/hackdays2025,main,9fc784bb4d6dd650d897c5818ad0589e4e6440a9,2025-06-10T13:30:30Z,2025-04-22T10:02:45Z,2025-10-08T23:14:24Z,False,False,WTFPL,276,False,93,4,,,,https://github.com/suitenumerique/hackdays2025/blob/9fc784bb4d6dd650d897c5818ad0589e4e6440a9/README.md
suitenumerique/hackathon42,Documentation,Annonce d’un événement de contribution,README et LICENSE seulement,Rien à installer ; aucune nouvelle application livrée dans ce dépôt.,https://github.com/suitenumerique/hackathon42,main,15ff7b80267ba1b7576b2e931fdebe8dbf10b84e,2026-06-15T14:11:21Z,2026-06-15T14:11:21Z,2026-06-15T14:11:22Z,False,False,MIT,2,False,0,0,,,,https://github.com/suitenumerique/hackathon42/blob/15ff7b80267ba1b7576b2e931fdebe8dbf10b84e/README.md
